OxySoft export of:	C:\Users\NIRS\Desktop\HPL Practice Test\Example_On_Off_Kinetics
Export date:	2024/07/19 10:58:09
Start of measurement:	2021-07-14 14:08:11.999

Datafile sample rate:	10.00	Hz
Datafile duration:	960.600	s
Datafile total number of samples:	9606

Description:	

Optode-template:	PortaMon TSI Fit Factor
Optode distance (mm):	 35.00
Optode gradients (mm):	 5.00
DPF:	4.00

Device id:	1329
# Receivers:	1
# Light sources:	6
# ADC:	0

Light source wavelengths:
device	index	wavelength
1	1	759	nm
1	2	854	nm
1	3	759	nm
1	4	854	nm
1	5	761	nm
1	6	856	nm

Export sample rate:	10.00	Hz
Selected time span:	0	960.600
Selected time span (sample numbers):	0	9606


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (LaLonde_Test_FP_7_14_21)
3	Rx1-Tx1 HHb (LaLonde_Test_FP_7_14_21)
4	Rx1-Tx2 O2Hb (LaLonde_Test_FP_7_14_21)
5	Rx1-Tx2 HHb (LaLonde_Test_FP_7_14_21)
6	Rx1-Tx3 O2Hb (LaLonde_Test_FP_7_14_21)
7	Rx1-Tx3 HHb (LaLonde_Test_FP_7_14_21)
8	Rx1-Tx1,Tx2,Tx3 TSI% (LaLonde_Test_FP_7_14_21)
9	Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (LaLonde_Test_FP_7_14_21)
10	(Event)


1	2	3	4	5	6	7	8	9	10
    49	 0.1821	 0.0709	 0.1387	 0.1096	 0.1656	 0.1262	60.9129	99.9940	
    50	 0.1712	 0.0872	 0.1492	 0.1164	 0.1390	 0.1267	60.9091	99.9946	
    51	 0.1465	 0.0713	 0.0882	 0.1170	 0.0867	 0.1460	60.7787	99.9941	
    52	 0.1589	 0.0793	 0.1891	 0.1021	 0.2005	 0.1134	61.0469	99.9947	
    53	 0.2424	 0.0865	 0.2420	 0.1362	 0.2380	 0.1558	60.9187	99.9948	
    54	 0.2068	 0.0868	 0.2009	 0.1297	 0.2005	 0.1134	60.9985	99.9952	
    55	 0.2068	 0.0868	 0.2009	 0.1297	 0.2005	 0.1134	60.9985	99.9952	
    56	 0.1575	 0.0550	 0.1175	 0.0959	 0.1216	 0.1331	60.8254	99.9940	
    57	 0.1096	 0.0474	 0.1070	 0.0891	 0.1190	 0.0779	60.9966	99.9950	
    58	 0.0972	 0.0394	 0.0752	 0.0686	 0.0841	 0.0907	60.9091	99.9942	
    59	 0.0384	 0.0481	 0.0248	 0.0761	 0.0475	 0.0668	60.9928	99.9946	
    60	 0.0137	 0.0322	 0.0118	 0.0276	 0.0209	 0.0672	60.9499	99.9936	
    61	 0.0493	 0.0318	 0.0846	 0.0546	 0.1181	 0.0594	61.0878	99.9946	
    62	 0.0958	 0.0152	 0.1127	 0.0127	 0.0832	 0.0723	60.9091	99.9939	
    63	 0.0246	 0.0159	 0.0330	 0.0413	 0.0457	 0.0299	61.0356	99.9949	
    64	-0.0124	-0.0080	 0.0000	-0.0000	-0.0157	 0.0433	60.9052	99.9942	
    65	-0.0370	-0.0239	-0.0398	 0.0143	-0.0183	-0.0120	61.0318	99.9951	
    66	-0.0726	-0.0235	-0.0727	-0.0270	-0.0706	 0.0073	60.9442	99.9938	
    67	-0.1438	-0.0228	-0.1232	-0.0195	-0.1164	-0.0226	61.0280	99.9947	
    68	-0.1110	-0.0717	-0.0939	-0.0406	-0.0881	 0.0138	60.8643	99.9941	
    69	-0.0740	-0.0478	-0.0223	-0.0345	-0.0183	-0.0120	61.0375	99.9947	
    70	-0.0754	-0.0721	-0.0927	-0.0198	-0.0972	 0.0078	60.8156	99.9946	
    71	-0.1699	-0.0630	-0.1350	-0.0472	-0.1173	-0.0411	61.0318	99.9947	
    72	-0.1945	-0.0789	-0.1972	-0.0673	-0.1705	-0.0402	60.9423	99.9939	
    73	-0.2425	-0.0865	-0.2371	-0.0530	-0.2154	-0.0517	60.9403	99.9947	
    74	-0.3027	-0.1021	-0.3098	-0.0800	-0.2869	-0.0628	60.8936	99.9942	
    75	-0.3630	-0.1176	-0.3310	-0.0937	-0.2711	-0.1061	61.0709	99.9946	
    76	-0.2932	-0.1427	-0.2899	-0.0872	-0.2254	-0.0761	60.9461	99.9943	
    77	-0.3164	-0.1343	-0.2805	-0.1011	-0.2537	-0.1125	61.0261	99.9950	
    78	-0.3534	-0.1582	-0.3334	-0.1353	-0.3326	-0.0927	60.8506	99.9943	
    79	-0.4123	-0.1495	-0.3733	-0.1210	-0.3261	-0.1420	61.0672	99.9949	
    80	-0.4137	-0.1738	-0.3956	-0.1554	-0.3784	-0.1227	60.8916	99.9941	
    81	-0.4616	-0.1814	-0.4554	-0.1340	-0.4159	-0.1651	60.9737	99.9951	
    82	-0.4863	-0.1973	-0.4883	-0.1753	-0.4507	-0.1522	60.8877	99.9939	
    83	-0.4740	-0.1893	-0.4155	-0.1483	-0.3627	-0.1660	61.0690	99.9951	
    84	-0.4151	-0.1981	-0.4155	-0.1483	-0.3710	-0.1535	60.9346	99.9947	
    85	-0.4740	-0.1893	-0.4660	-0.1408	-0.4084	-0.1959	61.0596	99.9953	
    86	-0.5096	-0.1890	-0.4883	-0.1753	-0.4599	-0.1582	60.9307	99.9942	
    87	-0.5110	-0.2132	-0.5083	-0.1681	-0.4533	-0.2075	61.0147	99.9950	
    88	-0.5233	-0.2212	-0.5599	-0.1815	-0.5139	-0.1757	60.8389	99.9940	
    89	-0.5931	-0.1962	-0.5799	-0.1743	-0.5157	-0.2126	61.0558	99.9947	
    90	-0.5945	-0.2204	-0.6116	-0.1948	-0.5497	-0.1813	60.8838	99.9937	
    91	-0.4986	-0.2053	-0.4379	-0.1828	-0.3727	-0.1904	61.1119	99.9947	
    92	-0.3795	-0.1984	-0.3956	-0.1554	-0.3535	-0.1600	60.9326	99.9945	
    93	-0.4260	-0.1817	-0.3956	-0.1554	-0.3893	-0.1655	60.9737	99.9951	
    94	-0.4151	-0.1981	-0.4367	-0.1619	-0.3976	-0.1531	60.8877	99.9941	
    95	-0.4260	-0.1817	-0.4355	-0.1411	-0.3727	-0.1904	61.0596	99.9949	
    96	-0.4260	-0.1817	-0.4672	-0.1616	-0.4324	-0.1402	60.8408	99.9936	
    97	-0.4493	-0.1734	-0.4871	-0.1545	-0.4599	-0.1582	60.8799	99.9941	
    98	-0.4849	-0.1730	-0.5388	-0.1678	-0.4865	-0.1577	60.8799	99.9933	
    99	-0.5096	-0.1890	-0.5481	-0.1538	-0.4699	-0.1826	60.9698	99.9941	
   100	-0.3904	-0.1821	-0.3956	-0.1554	-0.3252	-0.1236	60.9403	99.9934	
   101	-0.2823	-0.1590	-0.2618	-0.1291	-0.2371	-0.1374	61.0242	99.9949	
   102	-0.2699	-0.1510	-0.3029	-0.1356	-0.3060	-0.0932	60.8018	99.9937	
   103	-0.2932	-0.1427	-0.3322	-0.1145	-0.2729	-0.1429	61.0185	99.9942	
   104	-0.2823	-0.1590	-0.3428	-0.1213	-0.3069	-0.1116	60.8448	99.9938	
   105	-0.3164	-0.1343	-0.3428	-0.1213	-0.2912	-0.1549	61.0596	99.9943	
   106	-0.3288	-0.1423	-0.3944	-0.1346	-0.3601	-0.1107	60.8408	99.9932	
   107	-0.3876	-0.1336	-0.4343	-0.1203	-0.3627	-0.1660	61.0558	99.9941	
   108	-0.3890	-0.1578	-0.4859	-0.1337	-0.4399	-0.1094	60.7509	99.9930	
   109	-0.3890	-0.1578	-0.3956	-0.1554	-0.3086	-0.1484	61.0672	99.9933	
   110	-0.1987	-0.1518	-0.2407	-0.1154	-0.1639	-0.0894	60.9442	99.9932	
   111	-0.1494	-0.1199	-0.1878	-0.0813	-0.1465	-0.0959	60.9813	99.9944	
   112	-0.1727	-0.1116	-0.2395	-0.0946	-0.1896	-0.0706	60.8936	99.9931	
   113	-0.1727	-0.1116	-0.2289	-0.0878	-0.1556	-0.1019	61.0242	99.9936	
   114	-0.1727	-0.1116	-0.2395	-0.0946	-0.1888	-0.0521	60.8526	99.9927	
   115	-0.1959	-0.1032	-0.2688	-0.0735	-0.1905	-0.0890	60.9794	99.9935	
   116	-0.1959	-0.1032	-0.2899	-0.0872	-0.2337	-0.0637	60.8467	99.9927	
   117	-0.2548	-0.0945	-0.3298	-0.0729	-0.2611	-0.0816	60.9326	99.9934	
   118	-0.2671	-0.1025	-0.3615	-0.0933	-0.2694	-0.0692	60.8916	99.9921	
   119	-0.2192	-0.0949	-0.2476	-0.0598	-0.1190	-0.0779	61.1213	99.9934	
   120	-0.0768	-0.0964	-0.1057	-0.0683	-0.0458	-0.0300	60.9499	99.9932	
   121	-0.0987	-0.0638	-0.1057	-0.0683	-0.0558	-0.0544	61.0747	99.9935	
   122	-0.1110	-0.0717	-0.1760	-0.0537	-0.0990	-0.0291	60.9442	99.9928	
   123	-0.1343	-0.0634	-0.1854	-0.0397	-0.0824	-0.0539	61.0747	99.9933	
   124	-0.1233	-0.0797	-0.1866	-0.0605	-0.1339	-0.0162	60.8565	99.9928	
   125	-0.1589	-0.0793	-0.2065	-0.0533	-0.1439	-0.0406	60.9423	99.9934	
   126	-0.1822	-0.0710	-0.2688	-0.0735	-0.2045	-0.0089	60.8097	99.9917	
   127	-0.2301	-0.0786	-0.3086	-0.0592	-0.2062	-0.0457	60.9403	99.9925	
   128	-0.2192	-0.0949	-0.2793	-0.0803	-0.1870	-0.0153	60.8604	99.9918	
   129	-0.1110	-0.0717	-0.0951	-0.0615	-0.0018	-0.0369	61.1287	99.9932	
   130	-0.0508	-0.0562	-0.0739	-0.0478	 0.0174	-0.0065	61.0413	99.9925	
   131	-0.0740	-0.0478	-0.1032	-0.0267	-0.0275	-0.0180	61.0356	99.9934	
   132	-0.0973	-0.0395	-0.1443	-0.0332	-0.0441	 0.0069	60.9947	99.9922	
   133	-0.0973	-0.0395	-0.1338	-0.0263	-0.0449	-0.0116	61.0356	99.9930	
   134	-0.0973	-0.0395	-0.1549	-0.0400	-0.0532	 0.0009	60.9928	99.9919	
   135	-0.1329	-0.0391	-0.1842	-0.0189	-0.0807	-0.0171	61.0337	99.9930	
   136	-0.1685	-0.0387	-0.2359	-0.0322	-0.1413	 0.0147	60.9033	99.9919	
   137	-0.1685	-0.0387	-0.2253	-0.0254	-0.0715	-0.0111	61.0822	99.9919	
   138	-0.0617	-0.0399	-0.0833	-0.0338	 0.0283	 0.0364	61.0042	99.9917	
   139	-0.0138	-0.0323	-0.0410	-0.0065	 0.0540	 0.0175	61.0431	99.9930	
   140	-0.0261	-0.0402	-0.0727	-0.0270	 0.0109	 0.0428	60.9129	99.9920	
   141	-0.0835	-0.0072	-0.0927	-0.0198	 0.0349	-0.0129	61.2142	99.9925	
   142	-0.0494	-0.0319	-0.1431	-0.0124	 0.0008	 0.0184	60.9966	99.9914	
   143	-0.0959	-0.0152	-0.1431	-0.0124	-0.0092	-0.0060	61.1250	99.9923	
   144	-0.0973	-0.0395	-0.1842	-0.0189	-0.0698	 0.0257	60.9071	99.9917	
   145	-0.1561	-0.0308	-0.2147	-0.0186	-0.0890	-0.0047	61.0356	99.9923	
   146	-0.1329	-0.0391	-0.1842	-0.0189	-0.0257	 0.0189	61.0450	99.9916	
   147	-0.0494	-0.0319	-0.0516	-0.0133	 0.0972	-0.0078	61.2215	99.9928	
   148	-0.0138	-0.0323	-0.0528	-0.0341	 0.0549	 0.0359	61.0023	99.9915	
   149	-0.0494	-0.0319	-0.0727	-0.0270	 0.0274	 0.0180	61.0431	99.9923	
   150	-0.0494	-0.0319	-0.1032	-0.0267	 0.0017	 0.0368	60.9557	99.9916	
   151	-0.0850	-0.0315	-0.1126	-0.0127	 0.0266	-0.0005	61.1305	99.9925	
   152	-0.0740	-0.0478	-0.1443	-0.0332	-0.0175	 0.0064	60.9966	99.9917	
   153	-0.1329	-0.0391	-0.1842	-0.0189	-0.0449	-0.0116	61.0822	99.9924	
   154	-0.1343	-0.0634	-0.2065	-0.0533	-0.0532	 0.0009	60.9985	99.9910	
   155	-0.0631	-0.0641	-0.0634	-0.0410	 0.0880	-0.0138	61.1807	99.9924	
   156	 0.0204	-0.0569	-0.0024	-0.0416	 0.0989	 0.0290	61.0061	99.9920	
   157	-0.0028	-0.0486	-0.0223	-0.0345	 0.0798	-0.0014	61.0878	99.9927	
   158	-0.0152	-0.0565	-0.0634	-0.0410	 0.0540	 0.0175	61.0023	99.9917	
   159	-0.0261	-0.0402	-0.0727	-0.0270	 0.0615	-0.0133	61.1287	99.9923	
   160	-0.0384	-0.0482	-0.1032	-0.0267	 0.0274	 0.0180	61.0004	99.9917	
   161	-0.0508	-0.0562	-0.1138	-0.0335	 0.0340	-0.0313	61.1268	99.9923	
   162	-0.0864	-0.0558	-0.1561	-0.0608	-0.0183	-0.0120	61.0394	99.9911	
   163	-0.0631	-0.0641	-0.0845	-0.0546	 0.0697	-0.0258	61.1770	99.9920	
   164	 0.0437	-0.0653	 0.0375	-0.0559	 0.1512	 0.0097	61.0953	99.9920	
   165	 0.0328	-0.0490	 0.0082	-0.0348	 0.1238	-0.0083	61.1324	99.9926	
   166	 0.0204	-0.0569	-0.0235	-0.0553	 0.0889	 0.0046	61.0450	99.9916	
