OxySoft export of	C:\Artinis NIRS\NIRS Data\LIGHTSHIELD030_ONOFF_07_25_23_NEW								
Export date	7/25/2023 9:51								
Start of measurement	10:39.1								
									
Data file sample rate	10	Hz							
Data file duration	2056.6	s							
Data file total number of samples	20566								
									
Description									
Optode-template	PortaMon TSI Fit Factor								
Optode distance (mm)	35								
Optode gradients (mm)	5								
DPF	4								
									
Device id	1328								
# Receivers	1								
# Light sources	6								
# ADC	0								
									
Light source wavelengths									
Device	Tx	Wavelength							
54	-0.0112891	0.0502577	-0.011835	0.0643144	0.0491508	0.0473912	72.3900452	99.0139389	
55	-0.0175995	0.050848	-0.0152072	0.0648027	0.0433048	0.0494569	72.3817444	99.013504	
56	-0.0207071	0.0519514	-0.0171622	0.0662065	0.0404171	0.0510991	72.3776016	99.0131683	
57	-0.0221648	0.0541201	-0.0177058	0.0685221	0.0387653	0.0535501	72.3734512	99.0128403	
58	-0.0227971	0.0568228	-0.0182475	0.0708376	0.0389007	0.0559934	72.3732681	99.0131073	
59	-0.0241589	0.0606089	-0.0187072	0.0745397	0.039656	0.0588392	72.3770447	99.0130539	
60	-0.0246954	0.0649281	-0.0191668	0.0782419	0.0415787	0.061271	72.3849716	99.0133362	
61	-0.0236783	0.0686961	-0.0196265	0.0819441	0.0435032	0.0637048	72.3889389	99.01371	
62	-0.0242152	0.0730153	-0.0194625	0.0847173	0.0442566	0.0665506	72.3928986	99.0140762	
63	-0.0271301	0.0773535	-0.0213374	0.0875059	0.0449432	0.0681756	72.4049759	99.0144501	
64	-0.0277629	0.0800553	-0.0232104	0.0902944	0.0462498	0.070205	72.4087524	99.0150986	
65	-0.0267462	0.0838223	-0.0236701	0.0939966	0.0487903	0.0730413	72.412529	99.0157471	
66	-0.0264577	0.0886746	-0.0247554	0.0986295	0.0507835	0.0766958	72.4163055	99.0163956	
67	-0.0261697	0.0935269	-0.025215	0.1023317	0.0527748	0.0803502	72.4200821	99.0172653	
68	-0.0258813	0.0983792	-0.026924	0.1078935	0.0564865	0.0827726	72.4319763	99.0176926	
69	-0.0240397	0.1026793	-0.0273017	0.1129823	0.059647	0.0860151	72.4357529	99.0181122	
70	-0.0221977	0.1069794	-0.0277613	0.1166845	0.0627388	0.0880349	72.4438705	99.0188217	
71	-0.0227346	0.1112986	-0.0295543	0.1208597	0.0646633	0.0904668	72.4517975	99.0193329	
72	-0.0225424	0.1145335	-0.0313453	0.1250349	0.0665859	0.0929006	72.455574	99.0197525	
73	-0.0215253	0.1183005	-0.0324305	0.1296659	0.0685104	0.0953325	72.4595337	99.0198975	
74	-0.0197796	0.1209841	-0.0335978	0.1329122	0.070433	0.0977662	72.4593506	99.0206375	
75	-0.0188589	0.1231337	-0.0354709	0.1357008	0.0705703	0.1002076	72.4552002	99.0212402	
76	-0.0194916	0.1258354	-0.0367202	0.1375604	0.071257	0.1018327	72.4591599	99.021843	
77	-0.0201244	0.1285382	-0.0385951	0.140349	0.072493	0.1026414	72.4672699	99.0220871	
78	-0.0200281	0.1301556	-0.0398444	0.1422087	0.0713924	0.104276	72.4633102	99.0221863	
79	-0.0222144	0.1334086	-0.0404681	0.1431375	0.069672	0.1055063	72.4676437	99.0222397	
80	-0.0236721	0.1355782	-0.0417174	0.1449972	0.0691227	0.1063226	72.4717865	99.0221024	
81	-0.0227513	0.1377278	-0.042261	0.1473127	0.0703586	0.1071313	72.4759293	99.0222092	
82	-0.0210056	0.1404114	-0.0434264	0.150559	0.0722145	0.1083425	72.4800797	99.0225449	
83	-0.0192594	0.1430941	-0.04397	0.1528745	0.0729011	0.1099675	72.4802628	99.0229721	
84	-0.0190677	0.146329	-0.043888	0.1542612	0.0735191	0.1103719	72.488739	99.0231247	
85	-0.0181465	0.1484785	-0.0444297	0.1565767	0.074757	0.1111787	72.4928894	99.0232315	
86	-0.0156722	0.1500769	-0.0449714	0.1588922	0.0759929	0.1119874	72.4930725	99.0234299	
87	-0.01548	0.1533118	-0.0462207	0.1607519	0.0766128	0.1123918	72.5015488	99.023819	
88	-0.0161128	0.1560135	-0.04747	0.1626116	0.0761303	0.1144288	72.5015488	99.0242844	
89	-0.0150957	0.1597815	-0.0479297	0.1663137	0.0768837	0.1172746	72.5015488	99.0245209	
90	-0.0124292	0.1646147	-0.0483073	0.1714025	0.0805954	0.1196988	72.5096588	99.0249939	
91	-0.0082087	0.1688958	-0.0493106	0.1774202	0.0832065	0.1237577	72.5055161	99.0255966	
92	-0.0047173	0.1742611	-0.0496882	0.182509	0.086985	0.1274026	72.5094681	99.0266647	
93	-0.0012259	0.1796274	-0.0513152	0.1894575	0.0913833	0.1314519	72.513237	99.0275497	
94	0.0045481	0.1833563	-0.0529422	0.1964041	0.0952305	0.1363176	72.5047607	99.0285645	
95	0.0080395	0.1887226	-0.0552768	0.2028948	0.0972904	0.1411927	72.500618	99.0296326	
96	0.0098815	0.1930228	-0.0576915	0.2080007	0.0987304	0.1456636	72.4962845	99.0307312	
97	0.0132766	0.1967707	-0.0594024	0.2135626	0.1013416	0.1497205	72.491951	99.031601	
98	0.0159436	0.2016039	-0.0611113	0.2191244	0.1051201	0.1533654	72.4957275	99.0327072	
99	0.0201636	0.205885	-0.0634459	0.2256151	0.1089672	0.1582311	72.4912033	99.0340805	
100	0.0236555	0.2112513	-0.0657786	0.2321058	0.1128143	0.1630986	72.4908371	99.035553	
101	0.0271469	0.2166167	-0.0667819	0.2381235	0.1166614	0.1679643	72.4904633	99.0367889	
102	0.0313669	0.2208987	-0.0677832	0.2441431	0.1205086	0.1728299	72.4859467	99.0379257	
103	0.0355873	0.2251797	-0.0694922	0.249703	0.1242889	0.1764749	72.4857559	99.0391235	
104	0.0374289	0.2294798	-0.0732402	0.255282	0.1280006	0.1788991	72.4936676	99.0403214	
105	0.0408245	0.2332278	-0.078945	0.2622629	0.1306099	0.1829561	72.4893341	99.0418777	
106	0.04422	0.2369767	-0.0846499	0.2692419	0.1337703	0.1861966	72.489151	99.0432968	
107	0.0475192	0.2391081	-0.0883979	0.2748209	0.1345257	0.1890443	72.4810486	99.0437698	
108	0.049994	0.2407065	-0.0895652	0.2780653	0.1345924	0.190265	72.4772797	99.0435944	
109	0.0485363	0.2428751	-0.0901069	0.2803827	0.1345924	0.190265	72.4855728	99.0428696	
110	0.0485363	0.2428751	-0.0893992	0.2808385	0.1339744	0.1898607	72.4857559	99.0421371	
111	0.0477114	0.242342	-0.0893992	0.2808385	0.1315693	0.1894658	72.4819794	99.041275	
112	0.0437794	0.2429133	-0.0894831	0.2794519	0.1291622	0.189071	72.4861221	99.0409088	
113	0.0421296	0.241848	-0.0895652	0.2780653	0.1267551	0.1886762	72.4821701	99.0405426	
114	0.0404802	0.2407818	-0.0896472	0.2766786	0.1260685	0.1870511	72.4863129	99.0401764	
115	0.0396552	0.2402497	-0.0896472	0.2766786	0.1254505	0.1866468	72.4863129	99.0397186	
116	0.0381017	0.2408009	-0.0902709	0.2776094	0.1248325	0.1862424	72.4904556	99.0391235	
117	0.0365477	0.2413531	-0.0908965	0.2785383	0.1236633	0.1866563	72.4904556	99.0386658	
118	0.0349942	0.2419052	-0.0915202	0.2794691	0.1224941	0.1870683	72.4904556	99.038208	
119	0.0341692	0.2413721	-0.0901889	0.2789961	0.1201557	0.1878942	72.4823608	99.0375137	
120	0.0309663	0.2408581	-0.0862769	0.2761903	0.1177505	0.1874994	72.4823608	99.0363617	
121	0.0285879	0.2408772	-0.08432	0.2747884	0.1171306	0.1870969	72.4863129	99.0358124	
122	0.0286837	0.2424946	-0.0869006	0.2771192	0.1189865	0.1883081	72.4900818	99.0366669	
123	0.0296045	0.2446451	-0.0914382	0.2808538	0.1220802	0.190328	72.4936676	99.0382538	
124	0.0329042	0.2467757	-0.0966014	0.2855192	0.12579	0.1927522	72.4932861	99.0401764	
125	0.0354748	0.2499914	-0.1023883	0.2911134	0.1301197	0.1955789	72.4968719	99.0422287	
126	0.0388699	0.2537403	-0.0888232	0.2905431	0.1356186	0.1979955	72.5046005	99.0408859	
127	0.0422655	0.2574883	-0.0939025	0.2965932	0.138781	0.2012361	72.5044174	99.0425339	
128	0.0441075	0.2617884	-0.0996074	0.3035741	0.1431106	0.2040628	72.5121384	99.0439911	
129	0.0475026	0.2655373	-0.0866679	0.3039327	0.1457199	0.2081216	72.5078049	99.0422897	
130	0.0508981	0.2692862	-0.0717734	0.3028894	0.1500496	0.2109483	72.5115738	99.0405807	
131	0.0558472	0.2724819	-0.056877	0.3018442	0.1538299	0.2145932	72.5072479	99.0391083	
132	0.0592428	0.2762308	-0.0419825	0.3008009	0.1581596	0.2174218	72.5110168	99.0373993	
133	0.0634628	0.2805119	-0.0277118	0.3006864	0.1631073	0.2206529	72.5147781	99.0359344	
134	0.0676833	0.2847929	-0.0128154	0.2996431	0.1680568	0.2238858	72.5185471	99.0346985	
135	0.0719033	0.2890749	0.0014554	0.2995287	0.1730045	0.2271169	72.522316	99.033226	
136	0.0752988	0.2928229	0.0176812	0.2980123	0.176165	0.2303594	72.5221252	99.0311661	
137	0.0763159	0.2965908	0.0371972	0.2946191	0.1787075	0.2331956	72.5258865	99.0283127	
138	0.079711	0.3003388	0.0587503	0.2912107	0.181868	0.2364362	72.5257034	99.0253296	
139	0.0831066	0.3040877	0.0789739	0.2882753	0.1850284	0.2396768	72.5255127	99.022583	
140	0.0849486	0.3083878	0.0991956	0.2853399	0.1875709	0.2425149	72.5294647	99.0194626	
141	0.0875192	0.3116036	0.100773	0.2890249	0.1901134	0.2453512	72.5292816	99.0195084	
142	0.0892649	0.3142863	0.120289	0.2856336	0.192036	0.2477849	72.5290909	99.0162888	
143	0.0910106	0.3169689	0.1404286	0.2813116	0.1921734	0.2502263	72.5251389	99.0129013	
144	0.0912028	0.3202038	0.1405927	0.2840849	0.19286	0.2518514	72.5292816	99.012764	
